player,rumuoured_club
Arda Turan,Arsenal FC
Sead Kolasinac,Manchester City
Jason Cummings,Sunderland AFC
Wayne Rooney,West Ham United
B. Schweinsteiger,Chicago Fire
Milan Skriniar,West Bromwich Albion
Kieran Tierney,Arsenal FC
Lionel Messi,Manchester City
Berkay Özcan,Arsenal FC
Timo Werner,Liverpool FC
Ross Barkley,Chelsea FC
Mario Mandzukic,West Ham United
Trezeguet,Liverpool FC
Lucas Pérez,West Ham United
Chris Willock,Celtic FC
Tolgay Arslan,Sunderland AFC
Billy Gilmour,Chelsea FC
Daishawn Redan,Chelsea FC
Joshua Kimmich,Manchester City
Z. Ibrahimovic,Los Angeles Galaxy
Ryan Sessegnon,Everton FC
Steve Cook,West Bromwich Albion
Jordan Pickford,Manchester City
Ben Gibson,Arsenal FC
Ben Gibson,West Ham United
Isco,Juventus FC
Andrea Belotti,Manchester City
R. Lewandowski,Manchester United
Kylian Mbappé,Manchester United
Luka Adzic,Sunderland AFC
Seko Fofana,Everton FC
Seko Fofana,West Ham United
Kurt Zouma,AS Roma
Jordan Pickford,Everton FC
Rui Patrício,Watford FC
Nabil Bentaleb,FC Schalke 04
Kyle Walker,FC Barcelona
Harry Maguire,Tottenham Hotspur
Cédric Soares,FC Barcelona
Moussa Sissoko,AC Milan
Michael Essien,HNK Rijeka
Thomas,West Ham United
Bacary Sagna,West Ham United
Pablo Zabaleta,West Ham United
Keita Baldé,AC Milan
Ghayas Zahid,Manchester City
Keita Baldé,Manchester United
Timothy Tillman,Manchester City
A. Griezmann,Paris Saint-Germain
Iñaki Williams,Borussia Dortmund
Iñaki Williams,Juventus FC
Silvan Widmer,FC Barcelona
A. Griezmann,Arsenal FC
Andrea Belotti,Real Madrid
Isco,Chelsea FC
Sead Kolasinac,Arsenal FC
Joe Hart,Arsenal FC
Matteo Darmian,Inter Milan
Alexis Sánchez,Inter Milan
Lukas Culjak,FK Vojvodina Novi Sad
Lazaros Fotias,FK Vojvodina Novi Sad
G. Ramírez,Liverpool FC
Abel Hernández,Changchun Yatai
Abel Hernández,Everton FC
G. N'Koudou,FC Nantes
P. Rajkovic,Arsenal FC
R. Loftus-Cheek,Borussia Mönchengladbach
Freddy Adu,Portland Timbers
Carlos Bacca,Tianjin Quanjian
Lionel Messi,Manchester City
B. Henrichs,Bayern Munich
Nabil Fekir,Real Madrid
Miguel Borja,Sociedade Esportiva Palmeiras
Nabil Fekir,FC Barcelona
Piotr Zielinski,Real Madrid
N. Dimitrijevic,FK Rad
Blaise Matuidi,Juventus FC
Y. Carrasco,Bayern Munich
Y. Carrasco,Paris Saint-Germain
Blaise Matuidi,Arsenal FC
R. Rodríguez,Liverpool FC
Y. Carrasco,Arsenal FC
Y. Carrasco,Manchester United
Lyanco,Atlético Madrid
N. Milenkovic,RSC Anderlecht
N. Milenkovic,Villarreal CF
N. Milenkovic,Juventus FC
P. Aubameyang,AC Milan
S. Mijailovic,Krylya Sovetov Samara
Sergio Agüero,AC Milan
João Cancelo,Chelsea FC
Lucas Mugni,Blackburn Rovers
Ricardo Pereira,Liverpool FC
Vincent Janssen,VfL Wolfsburg
N. De La Cruz,Liverpool FC
N. De La Cruz,FC Barcelona
I. Nestorovski,Atlético Madrid
I. Nestorovski,Sevilla FC
I. Nestorovski,SS Lazio
Timothy Tillman,FC Barcelona
Fabian Benko,Tottenham Hotspur
Joshua Kimmich,Tottenham Hotspur
Douglas Costa,Tottenham Hotspur
Dele Alli,Bayern Munich
Kevin Kuranyi,Dinamo Brest
Viveiros,Red Star Belgrade
Cesc Fàbregas,Real Madrid
Nathan Aké,Southampton FC
Emir Spahic,FC St. Gallen 1879
Sergio Agüero,Chelsea FC
Sergio Agüero,Paris Saint-Germain
Paulo Dybala,Chelsea FC
Ben Brereton,Manchester United
Ben Brereton,Liverpool FC
W. Carvalho,Manchester City
Cheik Tioté,Beijing Enterprises
Connor Jennings,Macclesfield Town
S. Milosevic,FK Spartak Subotica
Ryan Sessegnon,Tottenham Hotspur
Ryan Sessegnon,Liverpool FC
A. Lacazette,FC Barcelona
Hugo Lloris,Real Madrid
Gareth Bale,Manchester United
Gareth Bale,Chelsea FC
Asmir Begovic,Galatasaray SK
Felipe Anderson,Tianjin Quanjian
Mijat Gacinovic,AC Milan
Mijat Gacinovic,Juventus FC
I. Bandalovski,Bolton Wanderers
G. Samaras,Real Zaragoza
G. Samaras,New York Cosmos
Milan Milanovic,AC Pisa 1909
Robbie Keane,Al-Ahli Dubai Club
A. Zivkovic,Arsenal FC
Yaw Yeboah,FC Porto
Cheik Tioté,Shandong Luneng Taishan
Y. Aiyegbeni,Coventry City
K. Manolas,Inter Milan
Mariano Díaz,West Ham United
Mariano Díaz,Southampton FC
Mariano Díaz,Leicester City
Riyad Mahrez,Tottenham Hotspur
Shane Griffin,Cork City FC
Alexis Sánchez,Atlético Madrid
Marco Asensio,Manchester United
Paulo Dybala,Manchester City
Mesut Özil,Paris Saint-Germain
Karl Darlow,Chelsea FC
Hernanes,Hebei China Fortune
Edin Dzeko,Olympique Marseille
George Hirst,Arsenal FC
H. Calhanoglu,Chelsea FC
George Hirst,Everton FC
Claudio Bravo,AC Milan
Karim Benzema,Arsenal FC
A. Lacazette,Liverpool FC
Sergio Agüero,Chelsea FC
Rivaldinho,Dinamo Bukarest
Marco Verratti,Inter Milan
Kylian Mbappé,Arsenal FC
Nélson Semedo,Manchester United
Álvaro Morata,Chelsea FC
Nikola Drincic,FK Partizan Belgrade
T. Bakayoko,Chelsea FC
Djibril Sidibé,Chelsea FC
G. Donnarumma,Real Madrid
Isco,Juventus FC
G. Donnarumma,Liverpool FC
Isco,Liverpool FC
Isco,Tottenham Hotspur
Sergio Agüero,Inter Milan
Dele Alli,Bayern Munich
S. Handanovic,Liverpool FC
Dejan Drazic,Krylya Sovetov Samara
Dejan Drazic,CD Nacional
Hernanes,Guangzhou Evergrande Taobao
Hernanes,São Paulo Futebol Clube
Daniel Hanslik,Arsenal FC
Joe Hart,Chelsea FC
Z. Ibrahimovic,SSC Napoli
S. El Fitouri,Chesterfield FC
William Opoku,Middlesbrough FC
P. Torrejón,Middlesbrough FC
R. Petrovic,Rio Ave FC
Maxime López,Chelsea FC
Asmir Begovic,Watford FC
Heurelho Gomes,Chelsea FC
P. Aubameyang,Real Madrid
G. Fernandes,Crystal Palace
Alfred N'Diaye,Hull City
Serge Gakpé,Chievo Verona
Nikola Djurdjic,Randers FC
Bojan Ostojic,RC Lens
Arouna Koné,Crystal Palace
Ross McCormack,Nottingham Forest
Lewis Grabban,Reading FC
Nadir Ciftci,Motherwell FC
Nathan Aké,AFC Bournemouth
Aaron Ramsdale,AFC Bournemouth
Aaron Ramsdale,Everton FC
Marc Klok,Dundee United FC
A. Guédioura,Middlesbrough FC
Tim Krul,AZ Alkmaar
O. El Kaddouri,FC Empoli
O. El Kaddouri,Trabzonspor
N. Mihajlovic,AS Saint-Étienne
Vincent Janssen,Galatasaray SK
Ricardo Kishna,LOSC Lille
F. Cartabia,SC Braga
Arouna Koné,Sunderland AFC
Adil Rami,Olympique Marseille
Adil Rami,Paris Saint-Germain
Ante Budimir,SS Lazio
F. Djordjevic,UC Sampdoria
Dejan Drazic,FK Partizan Belgrade
Pajtim Kasami,SS Lazio
Borja Bastón,Villarreal CF
Kevin van Veen,Henan Jianye
H. Medunjanin,Philadelphia Union
Hamit Altintop,SV Darmstadt 98
A. Hjulsager,Celta de Vigo
J. Onguene,VfB Stuttgart
Ryan Hedges,Barnsley FC
J. Rondón,Tianjin Quanjian
Andrea Belotti,Chelsea FC
Jay Rodríguez,Sunderland AFC
J. Gayá,Manchester City
Josh Windass,Hull City
David Pizarro,Club Universidad de Chile
Fabian Schär,FC Girondins Bordeaux
H. Kiyotake,Hamburger SV
Nani,Hull City
Kamil Grosicki,Hull City
Admir Mehmedi,Hamburger SV
Nicolas Pepe,Hamburger SV
Nicolas Pepe,Olympique Marseille
J. Biabiany,AC Milan
Moritz Leitner,FC Augsburg
A. Baumjohann,1.FC Nuremberg
A. Baumjohann,Karlsruher SC
Josip Brekalo,VfB Stuttgart
Kévin Malcuit,West Ham United
Nicolas Pepe,Hull City
Luca Cigarini,Cagliari Calcio
Alessio Cerci,US Palermo
G. Imbula,Torino FC
E. Sviatchenko,Southampton FC
Luke Chambers,Nottingham Forest
Felipe Caicedo,Chievo Verona
Ricardo Kishna,Chievo Verona
Dusan Micic,FC Bunyodkor
A. Candreva,Chelsea FC
Steven Caulker,Lokomotiv Moscow
Ashley Westwood,Burnley FC
Tim Krul,Watford FC
Scott Hogan,Aston Villa
J. Biabiany,Chelsea FC
Luiz Araujo,LOSC Lille
Tim Krul,Watford FC
Santiago Bueno,CA Peñarol
Neil Taylor,Aston Villa
Jordan Ayew,Swansea City
Arouna Koné,Queens Park Rangers
Molla Wague,Leicester City
Scott Hogan,Crystal Palace
Matt Smith,Queens Park Rangers
Chuba Akpom,Brighton &amp;amp; Hove Albion
Tom Cairney,Middlesbrough FC
Zakaria Bakkali,Real Betis Balompié
Zakaria Bakkali,FC Porto
Zakaria Bakkali,Club Brugge KV
J. Biabiany,US Palermo
N. Mihajlovic,VfB Stuttgart
J. Martínez,West Ham United
J. Martínez,Chelsea FC
Ashley Fletcher,Leeds United
Alfonso Pedraza,Leeds United
Pablo Insua,Swansea City
A. Ranocchia,Hull City
R. Alessandrini,Los Angeles Galaxy
Valeri Bojinov,Beijing Enterprises
A. Guédioura,Hull City
E. Giaccherini,AS Roma
Alberto Bueno,CD Leganés
L. Augustinsson,SV Werder Bremen
Nabil El Zhar,CD Leganés
Max Gradel,Hull City
Abdoul Camara,Stade Rennais FC
Alessio Cerci,Granada CF
Alessio Cerci,Bologna FC 1909
S. Sirigu,CA Osasuna
Sardar Azmoun,Villarreal CF
Gerson Acevedo,Red Star Belgrade
Abdoul Camara,Cardiff City
Abdoul Camara,Queens Park Rangers
Gerson Acevedo,Red Star Belgrade Error #transfermarkt #redstar #acevedo
Wesley Hoedt,Leicester City
Odion Ighalo,Changchun Yatai
Jozo Simunovic,Torino FC
Jozo Simunovic,Sunderland AFC
Jozo Simunovic,Crystal Palace
I. Radovanovic,Torino FC
P. Hetemaj,Torino FC
Lucas Castro,Torino FC
A. Pantic,Dynamo Kyiv
Tomas Necid,Legia Warszawa
Reece Oxford,Nottingham Forest
Chung-Yong Lee,Swansea City
Sergio García,RCD Espanyol Barcelona
Andrea Petagna,Inter Milan
Hirving Lozano,SL Benfica
Ross McCormack,Norwich City
A. Yarmolenko,Tottenham Hotspur
A. Yarmolenko,West Bromwich Albion
Kara,Leicester City
Leonardo Ulloa,Galatasaray SK
Juraj Kucka,Beijing Sinobo Guoan
Wayne Rooney,Shanghai Greenland Shenhua
Lazar Mikovic,Galatasaray SK
Daniele Baselli,AS Roma
Godfred Donsah,AS Roma
Yuto Nagatomo,UC Sampdoria
Nikica Jelavic,HNK Rijeka
Josip Ilicic,Leicester City
Sead Kolasinac,Chelsea FC
Mubarak Wakaso,Delfino Pescara 1936
Mubarak Wakaso,Deportivo Alavés
Mubarak Wakaso,Granada CF
Lacina Traoré,Sporting Gijón
Lacina Traoré,Besiktas JK
C. Musonda Jr.,AC Milan
Mouez Hassen,Southampton FC
Ollie Watkins,Derby County
Ollie Watkins,Mansfield Town
Ollie Watkins,Aston Villa
Jacob Bedeau,Aston Villa
Lyanco,Juventus FC
A. Griezmann,Arsenal FC
Gaku Shibasaki,UD Las Palmas
Miguel Veloso,AC Milan
Bozo Mikulic,ACF Fiorentina
Bozo Mikulic,Atalanta BC
Sead Kolasinac,Juventus FC
Rodrigo Caio,SS Lazio
Lisandro López,Swansea City
Henry Onyekuru,Liverpool FC
Nolan Roux,FC Girondins Bordeaux
Y. Sankharé,FC Girondins Bordeaux
Robin Quaison,1.FSV Mainz 05
N. N'Koulou,Hull City
Raouf Compaore,FK Vojvodina Novi Sad
Cesc Fàbregas,AC Milan
C. Tolisso,AC Milan
Valeri Bojinov,FC Zürich
Valeri Bojinov,Trabzonspor
Alexis Sánchez,Atlético Madrid
Luke Freeman,Queens Park Rangers
Nicolás Blandi,Galatasaray SK
Haris Duljevic,Celtic FC
Haris Duljevic,Eintracht Frankfurt
Alessio Cerci,SS Lazio
Rivaldinho,US Latina Calcio
Nikola Kalinic,Borussia Dortmund
Y. Benalouane,FC Nantes
Chancel Mbemba,Crystal Palace
S. Sirigu,Chelsea FC
Lorenco Simic,UC Sampdoria
Federico Barba,UC Sampdoria
J. Paredes,Olympiacos Piraeus
Yanic Wildschut,Derby County
Yanic Wildschut,Norwich City
R. Saponara,ACF Fiorentina
N. N'Koulou,Trabzonspor
Hernanes,Celtic FC
Hernanes,Genoa CFC
Nicolò Barella,AC Milan
Nicolò Barella,Inter Milan
Lorenco Simic,UC Sampdoria
Aymen Abdennour,Olympique Marseille
Leandro Paredes,Leicester City
Leandro Paredes,Watford FC
Leandro Paredes,West Ham United
Leandro Paredes,Tottenham Hotspur
Leandro Paredes,Everton FC
Leandro Paredes,Hull City
Víctor Ibarbo,UC Sampdoria
Víctor Ibarbo,Genoa CFC
Víctor Ibarbo,US Palermo
F. Bernardeschi,Inter Milan
G. Lapadula,Olympique Marseille
Leandro Paredes,Juventus FC
Rodrigo Ely,FC Crotone
Leandro Paredes,Liverpool FC
Leandro Paredes,Arsenal FC
Leandro Paredes,Chelsea FC
Jak Alnwick,Rangers FC
Charlie Adam,Sunderland AFC
Jose Baxter,Everton FC
Cristiano Ronaldo,Inter Milan
S. Giovinco,FC Barcelona
Charlie Wyke,Bradford City
Dele Alli,Manchester United
Grégory Sertic,Olympique Marseille
Rodrigo Ely,SD Eibar
Rodrigo Ely,Deportivo Alavés
V. Milinković-Savić,Ajax Amsterdam
V. Milinković-Savić,SL Benfica
V. Milinković-Savić,Torino FC
J. Farfán,Lokomotiv Moscow
Maicon,Atlanta United FC
Danilo Avelar,AS Monaco
Gerson,LOSC Lille
Davy Pröpper,Zenit St. Petersburg
F. Orellana,Valencia CF
Ravel Morrison,Queens Park Rangers
Serdar Tasci,Southampton FC
A. Paloschi,UC Sampdoria
Ante Budimir,FC Crotone
Lucas Castro,SS Lazio
Alexandre Pato,Tianjin Quanjian
Richmond Boakye,Red Star Belgrade
Jack Grealish,Middlesbrough FC
Danny Rose,Shanghai SIPG
Harry Kane,Shanghai SIPG
Carlton Cole,Notts County
Iago Aspas,Paris Saint-Germain
B. Ivanovic,West Bromwich Albion
Anthony Martial,Sevilla FC
Diego Contento,Sunderland AFC
Josh Doherty,Ards FC
Josh Doherty,Ards FC
Deni Alar,Torino FC
Jorge,AS Monaco
F. Jozefzoon,Brentford FC
E. Gonçalves,Heart of Midlothian FC
Josh Lelan,Crawley Town
Brad Guzan,Atlanta United FC
A. Ranocchia,Swansea City
Antoni Sarcevic,Plymouth Argyle
Isco,FC Barcelona
Robin Quaison,Juventus FC
Sime Vrsaljko,Juventus FC
Anthony Martial,Chelsea FC
G. Simeone,Sevilla FC
G. Simeone,Villarreal CF
Carlos Carmona,APOEL Nicosia
Dusan Vlahovic,UC Sampdoria
Felipe Anderson,Inter Milan
R. van Persie,São Paulo Futebol Clube
B. Ivanovic,Zenit St. Petersburg
Robbie Brady,Crystal Palace
G. Ramírez,Leicester City
Youssef Msakni,LOSC Lille
F. Andrijasevic,Standard Liège
Fernando Gago,Clube Atlético Mineiro
Fernando Gago,AC Milan
Bryan Oviedo,Sunderland AFC
Neil Taylor,Sunderland AFC
Darron Gibson,Crystal Palace
Danny Ward,Queens Park Rangers
Ariel Borysiuk,Lechia Gdansk
Julian Brandt,AC Milan
Julian Brandt,Juventus FC
Pepe,Hebei China Fortune
Cesc Fàbregas,Inter Milan
Cesc Fàbregas,Juventus FC
Hélder Costa,Wolverhampton Wanderers
Islam Slimani,Tianjin Quanjian
Islam Slimani,Tianjin Teda
Anthony Martial,Olympique Marseille
Anthony Martial,Paris Saint-Germain
Álvaro Morata,Arsenal FC
Álvaro Morata,Chelsea FC
Stefan de Vrij,Tottenham Hotspur
Robin Quaison,UC Sampdoria
F. Muslera,Chelsea FC
Lucas Ocampos,AC Milan
Charlie Adam,Fenerbahce SK
Robin Quaison,Watford FC
James McCarthy,Crystal Palace
James McCarthy,Newcastle United
Youssef Msakni,Olympique Marseille
R. Álvarez,Celta de Vigo
Cristian Pavón,Ajax Amsterdam
J. Martínez,Leicester City
Reece Oxford,Rangers FC
Yann M'Vila,Crystal Palace
Jerome Sinclair,Ipswich Town
Jerome Sinclair,Brentford FC
Jerome Sinclair,Nottingham Forest
Federico Chiesa,Inter Milan
Luiz Gustavo,AC Milan
Craig Gordon,Chelsea FC
M'Baye Niang,Watford FC
Chuba Akpom,Aston Villa
R. Snodgrass,Burnley FC
J. Spector,Orlando City SC
Ivan Ivanov,Lokomotiv Plovdiv
Ivan Ivanov,CSKA Sofia
Ivan Ivanov,Gaziantepspor
Ivan Ivanov,APOEL Nicosia
C. Samba,Crystal Palace
Ivan Ivanov,Levski Sofia
Ivan Ivanov,Arsenal Tula
Adriano,Boavista Sport Club (RJ)
Filip Benkovic,Newcastle United
Ante Coric,Newcastle United
Thanos Petsos,Fulham FC
Leon Bailey,Bayer 04 Leverkusen
Kyle Butler,Bayer 04 Leverkusen
Leon Bailey,AS Roma
Leon Bailey,SSC Napoli
Leon Bailey,Hull City
Leon Bailey,Liverpool FC
Leon Bailey,Manchester United
Leonardo Ulloa,Deportivo Alavés
S. Coulibaly,El Ahly Cairo
S. Coulibaly,Zamalek SC
Josh Murphy,Wolverhampton Wanderers
Jem Karacan,Norwich City
Diego López,Chelsea FC
Omar Bogle,Derby County
Vincent Thill,Bayern Munich
Tony Gallacher,Manchester United
Tony Gallacher,Manchester City
Tony Gallacher,Liverpool FC
Modou Barrow,Newcastle United
Ben Osborn,Newcastle United
Vincent Thill,Arsenal FC
Lucas Biglia,Inter Milan
Demba Ba,Besiktas JK
Alexandre Pato,Galatasaray SK
M'Baye Niang,Torino FC
M'Baye Niang,Genoa CFC
Patrice Evra,Olympique Marseille
Oscar Hiljemark,Torino FC
Marcos Guilherme,GNK Dinamo Zagreb
Rodrigo Palacio,Atalanta BC
M'Baye Niang,Crystal Palace
M'Baye Niang,Everton FC
Darko Lazovic,AC Milan
Maxi López,Racing Club de Avellaneda
Maxi López,Calcio Catania
Tony Gallacher,FC Barcelona
Miroslav Kacer,SSC Napoli
Luka Belic,NK Celje 
Alen Halilovic,UD Las Palmas
J. Calleri,UD Las Palmas
W. Carvalho,Liverpool FC
I. Radovanovic,Shenzhen FC
I. Radovanovic,Wuhan Zall
B. Dickenson,Ipswich Town
Marcos Guilherme,GNK Dinamo Zagreb
Leon Bailey,Bayer 04 Leverkusen
Senna Miangue,FC Crotone
Tom Heaton,Manchester City
Tom Heaton,Liverpool FC
B. Galloway,Derby County
Davide Santon,UC Sampdoria
R. Bentancur,Juventus FC
Dani Alves,Shanghai SIPG
Dani Alves,Hebei China Fortune
Dani Alves,Tianjin Quanjian
Eduardo Vargas,Galatasaray SK
Andros Townsend,Newcastle United
Jack Wilshere,AS Roma
Lazar Markovic,UC Sampdoria
Davy Roef,Deportivo de La Coruña
Rubén,RSC Anderlecht
A. Paloschi,US Sassuolo
I. Nestorovski,US Sassuolo
G. Defrel,AS Roma
Gonçalo Guedes,AS Monaco
Didier Drogba,South Melbourne FC
Vladimir Rodic,Red Star Belgrade
L. Milivojevic,Hull City
Antonio Cassano,ACF Fiorentina
Patrice Evra,Olympique Lyon
L. Milivojevic,Sunderland AFC
L. Milivojevic,Watford FC
L. Milivojevic,Southampton FC
Gonçalo Guedes,Paris Saint-Germain
Danilo Pereira,Arsenal FC
A. Pinamonti,Tottenham Hotspur
Jordan Rhodes,Sheffield Wednesday
B. Ivanovic,Everton FC
P. van Aanholt,Crystal Palace
Lazar Markovic,Hull City
Martin Skrtel,Zenit St. Petersburg
A. Ranocchia,Zenit St. Petersburg
Didier Drogba,Sport Club Corinthians Paulista
G. van der Wiel,Hull City
Dimitri Payet,OGC Nice
Maxi López,FC Crotone
Nenad Milijas,Red Star Belgrade
B. Schweinsteiger,Fenerbahce SK
Robbie Brady,AFC Bournemouth
Dele Alli,Real Madrid
Oliver Burke,Crystal Palace
Oliver Burke,Middlesbrough FC
Michael Keane,Everton FC
Michael Keane,Manchester City
Kara,Southampton FC
Kara,Sevilla FC
Kara,Sunderland AFC
Nélson Semedo,Chelsea FC
Sergio Agüero,Inter Milan
Emre Can,Juventus FC
L. Pokorný,HSC Montpellier
Craig Slater,Sheffield United
Nathan Holland,West Ham United
Mauro Zárate,Watford FC
Juan Bernat,Manchester City
C. Budescu,Steaua Bucharest
Alin Tosca,Real Betis Balompié
A. Touré,Sunderland AFC
A. Touré,Borussia Mönchengladbach
A. Touré,1. FC Köln
A. Touré,UC Sampdoria
A. Gnoukouri,US Palermo
A. Gnoukouri,FC Crotone
K. Kirilenko,RasenBallsport Leipzig
Amari'i Bell,Aston Villa
Amari'i Bell,Norwich City
Amari'i Bell,Crystal Palace
Serge Gnabry,Bayern Munich
Ivan Perisic,Manchester United
Ivan Perisic,Liverpool FC
Ivan Perisic,Chelsea FC
Stefan de Vrij,Manchester United
Stefan de Vrij,Chelsea FC
James Hanson,Sheffield United
James Bree,Southampton FC
James Bree,Aston Villa
Kasper Dolberg,Manchester United
Ivan Perisic,West Ham United
G. Sigurdsson,West Ham United
Jack Wilshere,AC Milan
G. Donnarumma,Juventus FC
G. Donnarumma,Chelsea FC
James Hanson,Sheffield Wednesday
David N'Gog,CSKA Sofia
David N'Gog,Boavista Porto FC
David N'Gog,UD Almería
Pablo Mouche,Olimpia Asunción
R. Rodríguez,Olympique Marseille
Vladimir Djilas,FK Partizan Belgrade
Valeri Bojinov,FK Gabala
Mario Mandzukic,Tianjin Quanjian
Adam Lallana,Paris Saint-Germain
Alexander Isak,Borussia Dortmund
Alexander Isak,Real Madrid
Jonathan Cafú,SS Lazio
Franck Kessié,Paris Saint-Germain
Bernd Leno,Inter Milan
Wendell,Inter Milan
Djibril Sidibé,FC Barcelona
Maxime López,FC Barcelona
Robbie Brady,Burnley FC
E. Yablonski,FK Orenburg
Matija Nastasic,Zenit St. Petersburg
Steven Taylor,Ipswich Town
Jesé,Middlesbrough FC
Kasper Dolberg,Borussia Dortmund
Barrie McKay,RasenBallsport Leipzig
Franck Kessié,Inter Milan
Franck Kessié,Juventus FC
Franck Kessié,AS Roma
Mohamed Yattara,AJ Auxerre
Franck Kessié,Arsenal FC
Franck Kessié,Manchester United
Mahmoud Dahoud,FC Barcelona
Ashley Young,Shandong Luneng Taishan
Joleon Lescott,Sunderland AFC
Kalu Uche,Wisla Kraków
Kamil  Jonkisz,Rozwój Katowice
Tomasz Wandzik,Rozwój Katowice
R. Zaborowski,Rozwój Katowice
Kamil Glik,Guangzhou Evergrande Taobao
Luis Hernández,Málaga CF
Martin Terrier,Everton FC
Neven Subotic,Hamburger SV
Y. Carrasco,Chelsea FC
Asmir Begovic,AFC Bournemouth
Razvan Marin,Standard Liège
Florin Andone,ACF Fiorentina
Alberto Bueno,CD Leganés
Diego Capel,CD Leganés
Alex Pritchard,Burnley FC
Isco,Arsenal FC
Marko Grujic,Real Betis Balompié
P. Cowan-Hall,Wycombe Wanderers
Lyanco,FC Porto
F. Mattiello,Delfino Pescara 1936
Gastón Brugman,KRC Genk
Jonny Hayes,Cardiff City
Thomas Phibel,Aytemiz Alanyaspor
Leonardo Ulloa,Deportivo Alavés
Vitor Bueno,LOSC Lille
Gaëtan Laborde,West Ham United
Marco Verratti,Bayern Munich
Marco Verratti,Juventus FC
Ronaldinho Gaúcho,Coritiba Foot Ball Club
Julian Korb,Southampton FC
